ab	from
Bitte	die Request / Appeal / You're welcome
bitten	to ask for (sth.)
buchstabieren	to spell
bunt	colorful
bitter	bitter
Büro	das office
Blatt	das sheet
Bus	der bus
Butter	die butter
Café	das Coffee shop
Cafeteria	die cafeteria
chatten	to chat
Datum	das date
dauern	to last
denken	to think
Chef	der male boss
Chefin	die female boss
Club	der club
Comic	das comic
denn	because
deshalb	therefore / that's why
deutlich	clear
Computer	der computer
Creme	die cream
dick	thick
Ding	das thing
direkt	directly
da	there
Disco	die Disco
diskutieren	to discuss
dabei sein	to be present / to be there
darüber	about that
doch	still / however / but
darauf	afterwards / after that / thereon
dagegen sein	be against
dafür sein	to be for it
damals	back then
Doppelzimmer	das double room
Dame	die lady
daneben	aside / beside
Dank	der thanks
Dorf	das village
dort	there
dorther	thence / from there
dorthin	to there
danke	Thank you
draußen	outside
danken	to thank
dann	then
dringend	urgent
drinnen	indoors
dass	that
Datei	die file
drüben	over there
drücken	to press
drucken	to print
Einkaufszentrum	das shopping mall
Drucker	der printer
dumm	stupid
einladen	to invite
dunkel	dark
Einladung	die invitation
einmal	once
einpacken	to wrap (sth.) / to pack (sth.)
dünn	thin
durch	by
einsteigen	to get in / to board / to enter
dürfen	can / may / to be allowed to do (sth.)
sich eintragen	to register / to sign in
Durst	der thirst
Dusche	die shower
Eintritt	der entry
einverstanden sein	to agree
sich duschen	to take a shower
E-Book	das E-Book
einzeln	single / individual / separate
Einzelkind	das the only child
Einzelzimmer	das single room
echt	real
Ecke	die corner
einziehen	to move in
egal	equal / whatever
Eis	das ice cream
E-Mail	die e-mail
Ehefrau	die wife
Ehepartner	der spouse
Ehemann	der husband
Ei	das egg
eigenes	own
Empfänger	der receiver
empfehlen	to recommend
eigentlich	actually
Ende	das the End
eilig	hurried
einfach	easy
enden	to end in (sth.) / to finish / to close
endlich	finally / at last
eng	tight / narrow / cramped
Eingang	der entrance
einige	some
sich entschuldigen	to apologize
einkaufen	to shop / to do the shopping
Entschuldigung	die excuse / apology
Erdgeschoss	das ground floor
falsch	not correct / wrong
Erfahrung	die experience
sich erinnern	to remember
Familie	die family
Familienname	der family name
erkältet sein	to have a cold
fantastisch	fantastic
Fan	der fan
erklären	to explain
Farbe	die Colour
erlauben	to allow
erlaubt sein	to be allowed
Erlaubnis	die permission
fast	nearly
faul	lazy
fehlen	to be absence / to be missing
Ermäßigung	die discount
erreichen	to reach
Fehler	der error
Feier	die celebration
Feierabend	der end of working day
Feiertag	der holiday
feiern	to celebrate
erst	first
Erwachsene	der adult
Fenster	das window
Ferien	die vacation
erzählen	to tell
fernsehen	to watch TV
essen	to eat
Essen	das food / meal
Fernseher	der TV
etwas	something
fertig sein	to bei done (doing sth.)
Fest	das celebration / feast / party
Fach	das subject
fahren	to drive
abfahren	depart
Abfahrt	die Departure
Fahrkarte	die ticket
Festival	das festival
fett	fat
Fieber	das fever
Film	der movie
finden	to find
Fahrplan	der timetable
Firma	die company
fallen	to fall
Fahrrad	das bicycle
Fisch	der fish
fit sein	to be fit
Flasche	die bottle
Fleisch	das meat
fleißig	diligent / busy / hard-working
früher	earlier
Frühstück	das breakfast
frühstücken	to have breakfast
fliegen	fly
abfliegen	depart
sich fühlen	to feel
Flohmarkt	der flea market
Führerschein	der driver's license
Flug	der flight
Führung	die guidance / leadership / conducted tour
Fundsachen	die Lost property
Flughafen	der airport
Flugzeug	das plane
für	for
Fluss	der river
furchtbar	awful
Formular	das form
Fotoapparat	der camera
fotografieren	to take photos
Fuß	der foot
Fußball	der soccer
Foto	das photo
Frage	die question
fragen	to ask
Frau	die Mrs
Gabel	die fork
ganz	all / quite
frei	free
freiwillig	voluntary
Freizeit	die leisure
fremd	strange
Garage	die garage
Garten	der garden
Gast	der guest
geben	to give
sich freuen	to be glad / to rejoice
geboren	born
Geburtstag	der birthday
Geburtsort	der place of birth
Geburtsjahr	das year of birth
Freund	der friend, boyfriend
Freundin	die female friend, girlfriend
geehrte	Dear / honored
freundlich	friendly
gefährlich	dangerous
frisch	fresh
gefallen	to like
froh	glad
früh	early
gegen	against
Gegenteil	das opposite
gegenüber	across / across from
gewinnen	to win
Gehalt	das salary
Gewitter	das thunderstorm
gehen	to go
Gitarre	die guitar
Glas	das Glass
glauben	to believe
gleich	equal
gehören	to belong to
Geld	das money
Gleis	das track
Glück	das happiness
Geldbörse	die Purse
glücklich	happy
Gemüse	das vegetables
Glückwunsch	der congratulation
genau	accurate / exact
gratulieren	to congratulate
genug	enough
grillen	to have a barbecue
Gepäck	das Luggage
gerade	just
Grippe	die flu
groß	big
geradeaus	straight
Größe	die size
Gerät	das device
Gruppe	die group
Gericht	das dish
gern	gladly
Gruß	der greeting
Geschäft	das shop / business
gültig sein	to be valid
Geschenk	das present
Geschichte	die story
Geschirr	das dishes
günstig	Cheap
gut	good
Gesicht	das face
Gespräch	das talk
gestern	yesterday
gesund	healthy
Gesundheit	die health
Getränk	das drink
Haar	das hair
haben	to have
Hähnchen	das chicken
Halle	die hall
hallo	hello
herein	in / this way in
Hals	der neck
Herd	der stove / cooker
Herr	der Sir
halten	to hold (sth.) / to stop
herstellen	to produce
Hamburger	der hamburger
Haltestelle	die stop
herunterladen	to download
Hand	die hand
Handtuch	das towel
herzlich	warmly
Handy	das mobile
heute	today
hängen	to hang
hier	here
hart	hard
Hilfe	die Help
hässlich	ugly
Hauptstadt	die capital
Himmel	der sky
Haus	das house
hin	(to go) there
hinein	in / into
hinaus	out / afield
Haushalt	der household
hinten	in the back
hinter	behind
Heft	das notebook
Heimat	die homeland
Hobby	das hobby
hoch	high
Hochzeit	die wedding
heiraten	to marry
hoffen	to hope
heiß	hot
heißen	to be called
hoffentlich	hopefully
holen	pick up
Heizung	die heater
helfen	to help
Homepage	die homepage
hören	to hear
hell	bright
Hose	die trousers
Hemd	das shirt
her kommen	to come here
heraus	out
Hotel	das hotel
Hund	der dog
Hunger	der hunger
husten	to cough
Idee	die idea
jung	young
immer	always
Junge	der Boy
in	in
Information	die information
sich über informieren	to inform oneself about (so./sth.) / to catch up on sth.
Kaffee	der coffee
Kalender	der calendar
kalt	cold
Insel	die island
Instrument	das instrument
intelligent	intelligent
Kamera	die camera
Interesse	das interest
kaputt	broken
Karte	die map
sich interessieren	to be interested in (so./sth.) / to care about (so./sth.)
interessant	interesting
international	international
Internet	das internet
Kartoffel	die potato
Käse	der cheese
Kasse	die cash register
Katze	die cat
kaufen	to buy
Interview	das interview
Kaufhaus	das department store
kein	no / none
ja	yes
Jacke	die jacket
Jeans	die Jeans
Keller	der basement, cellar
jeden	each
jedes	each
jemand	someone
kennen	to know (so./sth.)
kennenlernen	to get to know
jetzt	now
Job	der job
Kenntnisse	die expertise
joggen	to jog
Kette	die chain
Jugendherberge	die youth hostel
Kind	das child
Jugendliche (männlich)	der Youth (male)
Jugendliche (weiblich)	die Youth (female)
Kindergarten	der kindergarten
Kino	das movie theater
Kiosk	der kiosk
Kirche	die church
kostenlos	free
klappen	to fold
krank	sick
Krankenhaus	das hospital
klar	clearly / obvious
Krankenkasse	die health insurance
Krankheit	die illness
Kredit	der credit
Klavier	das piano
Kleid	das dress
Kreuzung	die crossing
Kleidung	die cloths / outfit
kriegen	to get
klein	small
Krimi	der thriller
klug	smart
kochen	to cook
Küche	die kitchen
Kuchen	der cake
kühl	cool
Koffer	der suitcase
Kühlschrank	der fridge
Kollege	der male colleague / co-worker
Kollegin	die female colleague / co-worker
Kultur	die culture
komisch	funny
sich kümmern	to take care of
kommen	to come
können	can
kündigen	to cancel
Kunde	der male customer
Kundin	die female customer
Kunst	die art
Kontakt	der contact
Konto	das account
Kurs	der course
kurz	short
kontrollieren	to check / to controll
Konzert	das concert
lachen	laugh
Kopf	der head
Laden	der small shop
Körper	der body
Lampe	die lamp
Land	das country
Kosmetik	die cosmetics
kosten	to cost
Landschaft	die landscape
lang	long
lange	Long
langsam	slowly
Link	der link
links	left
Löffel	der spoon
langweilig	boring
Lokal	das pub / tavern / restaurant
Lüge	die lie
lügen	to lie / to tell a lie
Laptop	der laptop
lassen	to let
Lust	die desire / delight / lust
laufen	to run
lustig	funny
laut	noisy
leben	to live
machen	to do
Leben	das Life
Lebensmittel	die foods / groceries
leer	empty
Mädchen	das girl
Magen	der stomach
legen	to lay / to put
leicht	light
leider	unfortunately
leidtun	feels sorry for (so.) / feels sorry about (sth.)
Mailbox	die mailbox
mal	times
Mal	das time / mark
malen	to paint
man	you
leihen	to lend
leise	quiet
lernen	to learn
manche	some
manchmal	sometimes
Mann	der man
männlich	male
lesen	to read
letzte	last
Mannschaft	die team
Mantel	der coat
Markt	der market
Leute	die people
Licht	das light
lieber	dear, beloved
Maschine	die machine
Medikament	das drug
Meer	das sea
lieben	to love
Lieblingsfarbe	favourite colour
mehr	more
meinen	to mean
Lied	das song
Meinung	die opinion
liefern	to deliver
liegen	to lie (down) / to recline
meisten	most
meistens	mostly
Menge	die amount
Mensch	der human
Moment	der moment
morgen	tomorrow
Motor	der engine
Motorroller	der scooter
merken	to realize / to notice / to memorize
müde	tired
Müll	der rubbish
Messe	die fair
Messer	das knife
Miete	die rental fee
Mund	der mouth
Museum	das museum
Musik	die music
mieten	to rent
Milch	die milk
mindestens	at least
müssen	have to / must
Mütze	die cap
Mineralwasser	das mineral water
nach	after
mit	with
mitbringen	to bring along / to bring (so./sth.)
mitspielen	to play along
mitmachen	to participate
mitkommen	to come along
mitnehmen	to take (sth./so.) / to pick (sth./so.) / to give a lift
Nachbar	der male neighbor
Nachbarin	die female neighbor
Nachricht	die message
nächste	next
Mitarbeiter	der employee
Mittagessen	das lunch
Nähe	die proximity / closeness
Mitte	die center
Name	der name
Mittel	das medium
nass	wet
Möbel	die furniture
Mobiltelefon	das mobile phone
möchten	to want
Natur	die nature
natürlich	natural / of course / certainly
Mode	die Fashion
neben	next
nebenan	next door
modern	modern
mögen	to like
neblig	foggy
möglich	possible
nehmen	to take
nein	no
offen	open
öffnen	to open
oft	often
ohne	without
nennen	to call so. sth. / to mention
nervös	nervous
nett	kind
Ohr	das ear
Öl	das oil
neu	new
online	on-line
nicht	not
nichts	nothing
nie	never
Orange	die orange
Ordnung	die order
niemand	nobody
nirgends	nowhere
organisieren	to organize
Ort	der place
noch	still
normal	normal
Note	die grade
notieren	to note
Notiz	die note
Paar	das Pair
ein paar	a few
notwendig	necessary
packen	to pack
Nudel	die noodle
Nummer	die number
Paket	das package
Papier	das paper
Papiere	die papers, documents
Parfüm	das perfume
Park	der park
nur	only / simply
parken	to park
Partner	der male partner
Partnerin	die female partner
nützlich	useful
Party	die party
Pass	der passport
oben	above
Obst	das fruit
passen	to fit / to suit
passieren	to happen
oder	or
Passwort	das password
Projekt	das project
Pause	die pause
Prospekt	der brochure
Person	die person
prüfen	to check
Pferd	das horse
Pflanze	die plant
Prüfung	die exam
Pullover	der pullover
Pizza	die pizza
pünktlich	on time
Plakat	das poster
putzen	to clean
Plan	der plan
planen	to plan
Platz	der place
plötzlich	suddenly
Qualität	die quality
Quiz	das quiz
Polizei	die police
Pommes frites	die French fries
Radio	das radio
raten	to guess
Portion	die portion
Post	die post
Poster	das poster
Rathaus	das town hall
Postkarte	die postcard
Postleitzahl	die post code
Rätsel	das mystery
rauchen	to smoke
Praktikum	das internship
Raum	der room
praktisch	practically
rechnen	to calculate
Praxis	die practice
Rechnung	die bill
recht haben	to be right
Preis	der price
preiswert	inexpensive
privat	private
rechts	right
reden	to talk / to speak
Regen	der rain
pro	per
probieren	to try
regnen	to rain
reich	rich
Problem	das problem
Reifen	der tire
Produkt	das product
Reihe	die line / row / queue
Programm	das program
Reinigung	die cleaning
rund	round
Reis	der rice
Reise	die travel
Reisebüro	das travel agency
Reiseführer	der travel guide
Rundgang	der round tour / circut
Sache	die thing
reisen	to travel
reiten	to ride
renovieren	to renovate
Saft	der juice
sagen	to say (sth.) / to tell
Rentner	der male pensioner
Rentnerin	die female pensioner
Salat	der salad
Salz	das salt
Reparatur	die repair
sammeln	to collect
reparieren	to repair
Satz	der sentence
sauber	clean
reservieren	to reserve
sauer	angry
Rest	der rest
schade	a pity
schädlich	harmful
Restaurant	das restaurant
schaffen	to create
Rezept	das recipe
Schalter	der switch
Rezeption	die reception
richtig	correct
scharf	sharp
riechen	to smell
scheinen	seem to be / to seem / to shine
Rind	das beef
Ring	der ring
Rock	der skirt
schenken	to make a gift / to give sth. to so.
romantisch	romantic
Schere	die scissors
Rose	die rose
Rücken	der back
schicken	to send
Schiff	das ship
Rucksack	der backpack
Schild	das sign
schimpfen	to rant / to grumble
rufen	to call
Ruhe	die rest
ruhig	calm
Schirm	der umbrella
schlafen	to sleep
Schlafzimmer	das bedroom
Schüler	der male student / pupil
Schülerin	die female student / pupil
schlecht	bad / poor
schwach	weak
schließen	to close / to conclude
schwanger	pregnant
Schwein	das pig
schwer	heavy
schlimm	bad / worst / upsetting
Schloss	das lock / castle
schwierig	difficult
Schwimmbad	das pool
Schluss	der ending / the end
schwimmen	to swim
See (Teich)	der lake (pond)
Schlüssel	der key
schmecken	to taste
See (Meer)	die sea
Schmerz	der pain
sehen	to see
schmutzig	dirty
Schnee	der snow
sich schneiden	to cut oneself
schneien	to snow
Sehenswürdigkeit	die point of interest
sehr	very
Seife	die soap
sein	to be
schnell	fast
Schokolade	die chocolate
schon	already / yet
schön	beautiful
Schrank	der cupboard / closet
an sein	to be on
aus sein	be off
auf sein	to be up
weg sein	to be away
zu sein	to be closed
schrecklich	awful / dreadful
seit	since
Seite	die page
schreiben	to write
selbst	in person / even
Sendung	die program / show / broadcast
schriftlich	written / in written form
Schuh	der shoe
Service	der service
Schule	die school
sich setzen	to sit down
sicher	for sure
singen	to sing
spielen	to play
Sport	der sport
sportlich	athletic
Situation	die situation
Sportplatz	der sports ground
sitzen	to sit
sprechen	to speak
Sprache	die language
Ski	der ski
so	so / as
Sprechstunde	die consultation hour
Stadt	die city
Sofa	das sofa
Stadtplan	der map / city map
Star	der star
sofort	immediately
stark	strong
sogar	even
stattfinden	to take place / to occur
sollen	should / shall
stehen	to stand
Sonne	die sun
sonnig	sunny
Stelle	die location
sonst	otherwise
stellen	to put
spannend	exciting
sparen	to save (sth.)
sterben	to die
Spaß	der fun
Stiefel	der boots
Stift	der pen
Stipendium	das scholarship
spät	late
später	later
Stock	der floor
spazieren gehen	to go for a walk
Stockwerk	das level / floor
Spaziergang	der walk
stören	to disturb
Strand	der beach
speichern	to save
Straße	die road
Straßenbahn	die tram
Speisekarte	die menu
Spiel	das game
sich streiten	to have a fight
streng	strict
Stress	der stress
stressig	stressful
teilnehmen	to participate / to take part
Stück	das piece
Telefon	das phone
telefonieren	to phone (so.)
Student	der male student
Studentin	die female student
studieren	to study
Teller	der plate
Tennis	das tennis
Studium	das studies / academic studies
Stuhl	der chair
suchen	to search
Termin	der meeting
teuer	expensive
Text	der text
Theater	das theatre
super	great
Thema	das subject / topic
Ticket	das ticket
Supermarkt	der supermarket
Suppe	die soup
tief	deep
Tier	das animal
surfen	to surf
süß	sweet
Tipp	der tip
Tisch	der table
Titel	der title
Süßigkeiten	die sweets
Toilette	die toilet
sympathisch	likeable / friendly
toll	great
Tomate	die tomato
Topf	der pot
Tablet	das tablet
Tablette	die pill / tablet
Torte	die cake
tot	dead
Tafel	die whiteboard
total	total
Tour	die trip
tanzen	to dance
Tasche	die bag
Tourist	der male tourist
Touristin	die female tourist
tragen	to carry
Taschengeld	das pocket money
trainieren	work out
Tasse	die cup
austauschen	change / exchange
tauschen	to exchange
Taxi	das taxi
Training	das training
Traum	der dream
träumen	to dream
Team	das team
Tee	der tea
traurig	sad
teilen	to divide
sich treffen	to meet
unbedingt	absolutely
und	and
Treppe	die stairway
Unfall	der accident
trinken	to drink
trocken	dry
Universität	die university
unten	at the bottom / downstairs / below
unter	under
tschüs	Bye-bye! / Cheers!
T-Shirt	das T-Shirt
sich unterhalten	to talk
tun	to do
Tür	die door
Unterkunft	die accommodation
unternehmen	to undertake sth. / to venture
typisch	typical
Unterricht	der class
üben	to practice
Unterschied	der difference
unterschreiben	to sign
über	above / about
überall	all over
übermorgen	day after tomorrow
Unterschrift	die signature
untersuchen	to investigate
unterwegs sein	to be on the move / to be out
übernachten	to stay (over night)
übersetzen	to translate
Urlaub	der vacation
Übersetzung	die translation
verabredet sein	to have an appointment
überweisen	to transfer
Uhr	die Clock
um	around
Veranstaltung	die event
umsteigen	to transfer / to change (transport)
umziehen	to move
sich umziehen	to get changed
verboten sein	to be forbidden / to be prohibited
verbieten	to forbid sth. / to prohibit / to ban sth.
verdienen	to earn
Verein	der union / club
vereinbaren	to agree sth. / to reach an agreement
vergessen	to forget
Umzug	der move
vergleichen	to compare
verkaufen	to sell
Volleyball	der volleyball
von	from
vor	in front
vorbei	over / past
Verkehr	der traffic
Verkehrsmittel	das means of transport
vorbereiten	to prepare
sich verletzen	to hurt oneself
sich verlieben	to fall in love
vorgestern	the day before yesterday
vorher	before
vorne	ahead / in front
verlieren	to lose
Vorname	der first given name
Vorschlag	der suggestion
vermieten	to rent sth. (out) / to let sth.
vorsichtig	careful
Vermieter	der landlord
Vermieterin	die landlady
verpassen	to miss
sich vorstellen	to imagine
verreisen	to travel
vorwärts	forward
verschieben	to shift sth. / to move sth.
wach	awake
Wagen	der car / carriage / wagon
wählen	to choose / to select / to dial / to vote
verschieden	different
Verspätung	die delay
verstehen	to understand
wahr	TRUE
wahrscheinlich	probably
versuchen	to try
Wald	der forest
Vertrag	der contract
wandern	to hike
viel	a lot of
viele	lots
wann	when
vielleicht	maybe
warm	warm
Vogel	der bird
warten	to wait
voll	full
warum	why
was	what
wenn	when / if
wer	who
wen	who / whom
wem	to whom / to who
Wäsche	die cloths / laundry
werden	to become
sich waschen	to wash oneself
Wasser	das water
Werkstatt	die workshop
Wettbewerb	der competition
Wetter	das weather
Webseite	die website
wechseln	to change / to switch
wichtig	important
wecken	to wake so. up
wie	as
wie viel	how much
weg	off / away
wegbringen	to bring away
wegfahren	to drive away
weggehen	to go away
weglaufen	to run away
wegmachen	to remove sth.
wegnehmen	to take away
wegwerfen	to discard sth. / to litter / to throw away
wieder	again
wiederholen	to repeat
Weg	der path
wegen	because of
wehtun	to hurt
Wiederhören	das Goodbye (on the phone)
Wiedersehen	das Goodbye (in person) / meet again
weiblich	female
willkommen	welcome
Wind	der wind
weich	soft
windig	windy
weil	because
Wein	der wine
wirklich	for real
wissen	to know
weinen	to cry
weit	far
weiter	continue
weitermachen	to keep going
weiterhelfen	to help so. with sth.
welcher	which one
Witz	der joke
witzig	funny
wo	where
woher	from where
wohin	where to
wohnen	to stay / to live
Welt	die world
wenig	little
wenigstens	at least
Wohnung	die flat / appartment
Wohnzimmer	das living room
Wolke	die cloud
Zimmer	das room
wollen	to want
Zirkus	der circus
Workshop	der seminar / workshop
Zitrone	die lemon
Zoo	der zoo
zu	to
Wort	das word
wunderbar	wonderful
Wunsch	der wish
wünschen	to wish
Zucker	der sugar
zuerst	first
Wurst	die sausage
zufrieden	satisfied
Zug	der train
zuhören	to listen
zuletzt	last
Zahl	die number
zahlen	to pay
Zahn	der tooth
zeichnen	to draw
zum Beispiel	for example
zumachen	to close (sth.) / to shut (sth.)
zeigen	to show / to demonstrate
zurück	back
Zeit	die time
zurückfahren	to drive back
zurückgeben	to hand back / to give back
zurückgehen	to go back
zurückkommen	to come back / to return
zurücklaufen	to run back
Zeitschrift	die magazine
Zeitung	die newspaper
Zelt	das tent
Zentrum	das center
Zettel	der note
zusammen	together
zwischen	in between
Zeugnis	das certificate / school report
anziehen	to dress / to put (sth.) on / to attract
ausziehen	move out
Ziel	das aim / target
