sondern	а
der Geschmack	вкус во рту
lecker	вкусный
besitzen, besitzt, besaß, hat besessen	владеть
die Gewalt, -en	власть
der Einfluss, ¨-e	влияние
verliebt	влюбленный
sich verlieben, verliebt sich, verliebte sich, hat sich verliebt	влюбляться
zusammen/zusammen-	вместе
statt	вместо
der Einfall, ¨-e	внезапная мысль
äußerlich	внешний
abwärts	вниз
herunter-, runter- (herunter-)laden, lädt herunter, lud herunter, hat heruntergeladen	вниз
unten	внизу
die Rücksicht, -en	внимание
aufmerksam	внимательный
eintragen, trägt ein, trug ein, hat eingetragen	вносить
der Enkel, - die Enkelin, -nen	внук
inner	внутренний
innen	внутри
innerhalb	внутри
während	во время
das Wasser	вода
der Fahrer, -	водитель
der Führerausweis, -e (CH) → D, A: Führerschein	водительское удостоверение
der Kanal, ¨-e	водоканал
der Umtausch, ¨-e	возврат
die Rückkehr	возвращение
die Luft, Lüfte	воздух
fahren, fährt, fuhr, ist/hat gefahren	возить
die Möglichkeit, -en	возможность
eventuell	возможный
möglich	возможный
virtuell	возможный
entstehen, entsteht, entstand, ist entstanden	возникать
erwachsen	возникать
widersprechen, widerspricht, widersprach, hat widersprochen	возражать
das Alter, -s	возраст
der Krieg, -e	война
der Bahnhof, ¨-e	вокзал
um	вокруг чеголибо
der Volleyball	волейбол
aufregen, regt auf, regte auf, hat aufgeregt	волновать
das Haar, -e	волос
erstens	вопервых
die Frage, -n	вопрос
der Dieb, -e	вор
das Tor, -e	ворота
der Sonntag, sonntags, am Sonntag	воскресенье
die Erziehung	воспитание
erziehen, erzieht, erzog, hat erzogen	воспитывать
die Rezeption/Reception, -en	восприятие
der Osten, Ost-/östlich	восток
begeistert	восторженный
vorwärts	вперед
voraus	впереди
vorn, vorne	впереди
durcheinander	вперемешку
der Eindruck, ¨-e	впечатление
der Arzt, ¨-e die Ärztin, -nen	врач
der Schaden, ¨-	вред
schaden, schadet, schadete, hat geschadet	вредить комулибо
schädlich	вредный
der Job, -s	временная работа 
vertreten, vertritt, vertrat, hat vertreten	временно заменять
die Dauer	время
die Zeit	время
der Zeitpunkt, -e	время
die Jahreszeit, -, -en	время года
die Tageszeit, -, -en	время дня
auseinander	врозь
sämtliche	все
immer	всегда
weltweit	всемирный
doch	всетаки
das Hilfsmittel, -	вспомогательное средство
aufstehen, steht auf, stand auf, ist aufgestanden	вставать
einfügen, fügt ein, fügte ein, hat eingefügt	вставлять
einsetzen, setzt ein, setzte ein, hat eingesetzt	вставлять
begegnen, begegnet, begegnete, ist begegnet	встречать
treffen, trifft, traf, hat getroffen	встречать
der Dienstag, -(e)s, -e, dienstags, am Dienstag	вторник
zweite	второй
drittens	втретьих
stecken, steckt, steckte, hat gesteckt	втыкать
der Eingang, ¨-e	вход
der Eintritt	вход
der Zugang, ¨-e	вход
treten, tritt, trat, hat/ist getreten	входить ступать
gestern	вчера
viertens	вчетвертых
die Einfahrt, -en	въезд
einziehen, zieht ein, zog ein, ist eingezogen	въезжать
(sich etwas) aussuchen, sucht aus, suchte aus, hat ausgesucht	выбирать
auswählen, wählt aus, wählte aus, hat ausgewählt	выбирать
wählen, wählt, wählte, hat gewählt	выбирать
die Auswahl, -en	выбор
die Wahl, -en	выбор
die Müllabfuhr	вывоз мусора
aussehen, sieht aus, sah aus, hat ausgesehen	выглядеть
ausgeben, gibt aus, gab aus, hat ausgegeben	выдавать
die Ausgabe, -n	выдача
die Ausfahrt, -en	выезд
die Herausforderung, -en	вызов
gewinnen, gewinnt, gewann, hat gewonnen	выигрывать
der Schalter, -	выключатель
ausfallen, fällt aus, fiel aus, ist ausgefallen	выпадать
der Ausdruck, ¨-e	выражение
landen, landet, landete, ist gelandet	высаживаться
die Aussage, -n	высказывание
hoch	высокий
die Höhe	высота
die Ausstellung, -en	выставление
ausstellen, stellt aus, stellte aus, hat ausgestellt	выставлять
ausziehen, zieht aus, zog aus, hat/ist ausgezogen	вытягивать
der Ausgang, ¨-e	выход
der Auftritt, -e	выход на сцену
ausgehen, geht aus, ging aus, ist ausgegangen	выходить из дому
in Rente gehen/sein (D) → D, A: in Pension gehen/ sein; CH, D: pensioniert werden/sein	выходить на пенсию
berechnen, berechnet, berechnete, hat berechnet	вычислять
klären, klärt, klärte, hat geklärt	выяснять
raten, rät, riet, hat geraten	гадать
das Gas, -е	газ
die Zeitung, -en	газета
die Galerie, -n	галерея
der Hamburger, -	гамбургер
die Garage, -n	гараж
garantieren, garantiert, garantierte, hat garantiert	гарантировать
die Garantie für etw. (А)	гарантия
die Garderobe, -n	гардероб
ausmachen, macht aus, machte aus, hat ausgemacht	гасить
löschen, löscht, löschte, hat gelöscht	гасить
der Nagel, ¨-	гвоздь
wo	где
die Geografie	география
Deutschland der Deutsche, -n die Deutsche, -n deutsch Deutsch	Германия немец
die Heldin, -nen	героиня
der Held, -en	герой
flexibel	гибкий
das Gymnasium	гимназия
die Gymnastik	гимнастика
der Link, -s	гиперссылка
die Gitarre, -n	гитара
das Kapitel, -	глава
eben	гладкий
glatt	гладкий
das Auge, -n	глаз
global	глобальный
tief	глубокий
dumm	глупый
taub	глухой
gucken, guckt, guckte, hat geguckt	глядеть
Guck mal!	Глянька!
treiben, treibt, trieb, hat getrieben	гнать
faul	гнилой
reden, redet, redete, hat geredet	говорить
sagen, sagt, sagte, hat gesagt	говорить
sprechen, spricht, sprach, hat gesprochen	говорить
das Jahr, -e jährlich	год
nutzen, nutzt, nutzte, hat genutzt	годиться
das Haupt, Häupter	голова
der Kopf, ¨-e	голова
der Hunger nach D	голод
hungrig	голодный
die Stimme, -n	голос
die Stimme, -n	голос
abstimmen, stimmt ab, stimmte ab, hat abgestimmt	голосовать
stimmen, stimmt, stimmte, hat gestimmt	голосовать
bloß	голый
Golf, das Golfspiel	гольф
der Berg, -e	гора
stolz	гордый
brennen, brennt, brannte, hat gebrannt	гореть
waagerecht	горизонтальный
das Gebirge	горная цепь
die Stadt, ¨-e	город
S-Bahn, -en	городская электричка
städtisch	городской
der Topf, ¨-e (D, A) → CH: Pfanne	горшок
bitter	горький
heiß	горячий
der Herr, -en	господин
der Gast, ¨-e	гость
der Beamte, -n die Beamtin, -nen	государственный служащий
der Staat, -en; staatlich	государство
(sich) vorbereiten, bereitet vor, bereitete vor, hat vorbereitet	готовить
zubereiten, bereitet zu, bereitete zu, hat zubereitet	готовить
bereit	готовый
fertig	готовый
gar	готовый о сваренном
der Bürger, - die Bürgerin, -nen	гражданин
der Personenstand → D, A: Familienstand; CH: Zivilstand	гражданское состояние
der Zivilstand (CH) → Personenstand; D, A: Familienstand	гражданское состояние
1 g = ein Gramm	грамм
die Grenze, -n	граница
die Grafik, -en	графика
donnern, donnert, donnerte, hat gedonnert	греметь
Griechenland der Grieche, -n die Griechin, -nen griechisch Griechisch	Греция грек
der Pilz, -e → A: Schwammerl	гриб
das Schwammerl, -n (A) → Pilzschwanger	гриб
der Grill	гриль
grillieren, grilliert, grillierte, hat grilliert (CH) → D, A: grillen	гриль делать
schminken, schminkt, schminkte, hat geschminkt	гримировать
die Grippe	грипп
das Gewitter, -	гроза
der Donner, -	гром
laut	громкий
das Baby, -s	грудной ребёнок
die Brust	грудь
aufladen, lädt auf, lud auf, hat aufgeladen	грузить
der Lkw, -s	грузовой автомобиль
der Grund, ¨-e	грунт
die Gruppe, -n	группа
die WG, -s	группа совместно проживающих людей
die Birne, -n	груша
schmutzig	грязный
der Dreck	грязь
der Schmutz	грязь
die Lippe, -n	губа
wandern, wandert, wanderte, ist gewandert	гулять
dicht	густой
ja	да
geben, gibt, gab, hat gegeben	давать
füttern, füttert, fütterte, hat gefüttert	давать корм
Bescheid geben	давать справку
drücken, drückt, drückte, hat gedrückt	давить
der Druck	давление
sogar	даже
weiter/weiter	далее
weit	далекий
die Dame, -n	дама
die Daten (Plural)	данные
schenken, schenkt, schenkte, hat geschenkt	дарить
das Datum, die Daten	дата
die Tür, -en	дверь
der Motor, -en	двигатель
bewegen, bewegt, bewegte, hat bewegt	двигать
die Bewegung, -en	движение
der Verkehr	движение транспорта
zweifach	двойной
doppelt	двойной
doppelt	двойной
der Hof, ¨-e	двор
der Cousin, -s die Cousine, -n	двоюродный брат
das Mädchen, -	девочка
der Opa, -s	дед
die Wirkung, -en	действие
wirklich	действительно
die Wirklichkeit, -en	действительность
gültig	действительный
handeln, handelt, handelte, hat gehandelt	действовать
wirken, wirkt, wirkte, hat gewirkt	действовать
dekorieren, dekoriert, dekorierte, hat dekoriert	декорировать
leisten, leistet, leistete, hat geleistet	делать
machen, macht, machte, hat gemacht	делать
tun, tut, tat, hat getan	делать
erhöhen, erhöht, erhöhte, hat erhöht	делать выше
winken, winkt, winkte, hat gewinkt	делать знак
leid tun, tut leid, tat leid, hat leidgetan	делать неприятно
operieren, operiert, operierte, hat operiert	делать операцию
die Abteilung, -en	деление
teilen, teilt, teilte, hat geteilt	делить
das Geschäft, -e	дело
das Werk, -e	дело
die Demokratie, -n, demokratisch	демократия
der Beitrag, ¨-e	денежный взнос
der Tag, -e,	день
der Tag, -e täglich	день
der Geburtstag, -e	День рождения
das Geld	деньги
das Dorf, ¨-er	деревня
der Baum, ¨-e	дерево
das Holz	дерево
halten, hält, hielt, hat gehalten	держать
wetten, wettet, wettete, hat gewettet	держать пари
frech	дерзкий
das Dessert, -s → D, A: Nachspeise	десерт
die Nachspeise, -n (D, A) → Dessert	десерт
das Jahrzehnt, -e	десятилетие
das Detail, -s	деталь
das Teil, -e	деталь
der Krimi, -s	детектив
der Nachwuchs	дети
der Kindergarten, ¨-	детский сад
die Kindheit	детство
billig	дешевый
die Tätigkeit, -en	деятельность
der Jazz	джаз
die Marmelade, -n (D, A)	джем
die Jeans (Pl.)	джинсы
der Dialekt, -e	диалект
der Dialog, -e	диалог
die Couch, -s	диван
das Sofa, -s	диван
wunderschön	дивный
die Diät	диета
wild	дикий
merkwürdig	диковинный
buchstabieren, buchstabiert, buchstabierte, hat buchstabiert	диктовать
der Lautsprecher, -	динамик
das Diplom, -e	диплом
der Direktor, -en die Direktorin, -nen	директор
die Scheibe, -n	диск
die Diskussion, -en	дискуссия
die Fernbedienung, -en	дистанционное управление
die Distanz, -en	дистанция
die Länge, -en	длина
lang	длинный
dauernd	длительный
dauern, dauert, dauerte, hat gedauert	длиться
für	для
bis	до
vormittags, am Vormittag	до полудня
bisher	до сих пор
zusätzlich	добавочный
freiwillig	добровольный
das Vertrauen	доверие
vertrauen, vertraut, vertraute, hat vertraut	доверять
genug	довольно
ziemlich	довольно
zufrieden	довольный
vereinbaren, vereinbart, vereinbarte, hat vereinbart	договариваться
der Vertrag, ¨-e	договор
(sich) verabreden, verabredet, verabredete, hat verabredet	договориться
der Regen	дождь
der Beweis, -e	доказательство
beweisen, beweist, bewies, hat bewiesen	доказывать
der Bericht, -e	доклад
das Referat, -e	доклад
der Vortrag, ¨-e	доклад
der Doktor, -en die Doktorin, -nen	доктор
das Dokument, -e	документ
die Urkunde, -n	документ законный
die Unterlagen (Pl.)	документы
die Pflicht, -en	долг
die Schulden (Pl.)	долги
lange, lang	долго
das Amt, ¨-er	должность
das Tal, ¨-er	долина
das Haus, ¨-er	дом
das Altenheim, -e → Altersheim	дом престарелых
das Haustier, -e	домашнее животное
die Hausaufgabe, -n	домашнее задание
der Haushalt, -e	домашнее хозяйство
das Zuhause	домашний очаг
die Homepage, -s	домашняя страница
die Hausfrau, -en der Hausmann	домашняя хозяйка
heim	домой
der Abwart, -e die Abwartin, -nen Hausmeister	домоправитель
der Hausmeister, - die Hausmeisterin, -nen (D, A) → CH: Abwart	домоправитель
ergänzen, ergänzt, ergänzte, hat ergänzt	дополнять
der Weg, -e	дорога
teuer	дорогой
das Verkehrszeichen, -	дорожный знак
die Tafel, -n	доска
besorgen, besorgt, besorgte, hat besorgt	доставать
erreichen, erreicht, erreichte, hat erreicht	доставать
die Lieferung, -en	доставка
ausreichend	достаточный
(4) ausreichend (die/eine Vier)	достаточный как оценка
die Verabredung, -en	достижение договоренности встреча
wert	достойный
die Sehenswürdigkeit, -en	достопримечательность
zugänglich	доступный
das Einkommen, -	доход
die Tochter, ¨-	дочь
der Freund, -e	друг
voneinander	друг от друга
miteinander	друг с другом
ander-	другой
anders	другой
die Freundschaft, -en	дружба
freundlich	дружелюбный
das Leder	дубленая кожа
der Bogen, -/¨-	дуга
denken, denkt, dachte, hat gedacht	думать
glauben, glaubt, glaubte, hat geglaubt (an А)	думать
nachdenken, denkt nach, dachte nach, hat nachgedacht	думать
stinken, stinkt, stank, hat gestunken	дурно пахнуть
das Parfüm, -s	духи
der (Back-)Ofen, ¨- (D, CH) → A: (Back-)Rohr	духовка
die Dusche, -n	душ
das (Back-)Rohr, -e (A) → D, CH: (Back-)Ofen	дымоход
das Loch, ¨-er	дыра
der Atem, -s	дыхание
atmen, atmet, atmete, hat geatmet	дышать
der Onkel, -	дядя
1 € = 1 Euro, -s	евро
Europa der Europäer, - die Europäerin, -nen europäisch	Европа европеец европейский
die Europäische Union, die EU	Евросоюз
das Essen, -	еда
die Mahlzeit, -en	еда
eben	едва
kaum	едва
einzig	единственный
einheitlich	единый
der Feiertag, -e	ежегодный праздник
täglich	ежедневно
reiten, reitet, ritt, ist geritten	ездить верхом
natürlich	естественный
essen, isst, aß, hat gegessen	есть
genießen, genießt, genoss, hat genossen	есть
fressen, frisst, fraß, hat gefressen	есть о животных
noch	еще
noch mal	еще раз
nochmals	еще раз
der Durst	жажда
durstig	жаждущий
vermissen, vermisst, vermisste, hat vermisst	жалеть об отсутствии
klagen, klagt, klagte, hat geklagt	жаловаться
schade	жаль
das Fieber	жар
die Hitze	жара
braten, brät, briet, hat gebraten	жарить
grillen, grillt, grillte, hat gegrillt (D, A) → CH: grillieren	жарить на гриле
der Braten, -	жаркое
erwarten, erwartet, erwartete, hat erwartet	ждать
warten, wartet, wartete, hat gewartet	ждать
die Lust	желание
der Wunsch, ¨-e	желание
willkommen	желанный приятный
(sich) wünschen, wünscht, wünschte, hat gewünscht	желать
die Eisenbahn, -en	железная дорога
gelb	желтый
der Magen, ¨-	желудок
verheiratet	женат
heiraten, heiratet, heiratete, hat geheiratet	жениться
weiblich	женский
die Frau, -en	женщина
das Opfer, -	жертва
die Festplatte, -n	жёсткий диск
die Büchse, -n (D, CH) → A: Dose	жестяная банка
die Dose, -n → D, CH: Büchse	жестяная банка
die Marke, -n	жетон
der Bauch, ¨-e	живот
Tier, -(e)s, -e	животное
das Tier, -e	животное
die Flüssigkeit, -en	жидкость
das Leben	жизнь
das Wohnzimmer, -	жилая комната
die Unterkunft, ¨-e	жилое помещение
das Quartier, -e (CH) → D, A: Viertel	жилье
das Fett, -e	жир
die Giraffe, -n	жираф
fett	жирный
der Bewohner, - die Bewohnerin, -nen	житель
der Einwohner, - die Einwohnerin, -nen	житель
leben, lebt, lebte, hat gelebt	жить
wohnen, wohnt, wohnte, hat gewohnt	жить
campen	жить в лагере [кемпинге]
zelten, zeltet, zeltete, hat gezeltet	жить в палатке
sich stehen	жить разг
getrennt leben	жить раздельно
die Zeitschrift, -en	журнал
der Journalist, -en die Journalistin, -nen	журналист
hinter/hinter- wo? D, wohin? A	за
pro	за
außerhalb	за пределами
dafür	за это
der Streik, -s	забастовка
sich verlaufen, verläuft sich, verlief sich, hat sich verlaufen	заблудиться
die Sorge, -n (um A)	забота
betreuen, betreut, betreute, hat betreut	заботиться
sorgen, sorgt, sorgte, hat gesorgt	заботиться
der Betreuer, - die Betreuerin, -nen	заботящийся
vergessen, vergisst, vergaß, hat vergessen	забывать
abhängig	зависимый
das Frühstück	завтрак
frühstücken, frühstückt, frühstückte, hat gefrühstückt	завтракать
das Rätsel, -	загадка
ansprechen, spricht an, sprach an, hat angesprochen	заговаривать
die Überschrift, -en	заголовок
der Ausflug, ¨-e	загородная прогулка
das Ausland	заграница
hochladen, lädt hoch, lud hoch, hat hochgeladen	загружать
die Umweltverschmutzung, -en	загрязнение окружающей среды
verschmutzen, verschmutzt, verschmutzte, hat verschmutzt	загрязнить
aufhalten, hält auf, hielt auf, hat aufgehalten	задерживать
festnehmen nimmt fest, nahm fest, hat festgenommen	задерживать
das Feuerzeug, -e	зажигалка
interessiert	заинтересованный
bestellen, bestellt, bestellte, hat bestellt	заказывать
enden, endet, endete, hat geendet	заканчивать
erledigen, erledigt, erledigte, hat erledigt	заканчивать
das Gesetz, -e	закон
schließen, schließt, schloss, hat geschlossen	закрывать
zumachen, macht zu, machte zu, hat zugemacht	закрывать
der Einkauf, ¨-e	закупка
die Halle, -n	зал большой
der Saal, Säle	зал помещение
der Ersatz	замена
ersetzen, ersetzt, ersetzte, hat ersetzt	заменять
die Notiz, -en	заметка
bemerken, bemerkt, bemerkte, hat bemerkt	замечать
merken, merkt, merkte, hat gemerkt	замечать
die Vertretung, -en	замещение
das Schloss, ¨-er	замок
beschäftigen, beschäftigt, beschäftigte, hat beschäftigt	заниматься
surfen	заниматься сёрфингом 
die Beschäftigung	занятие
der Unterricht	занятие
der Westen, West-/westlich	запад
der Notausgang, ¨-e	запасный выход
anschließen, schließt an, schloss an, hat angeschlossen	запирать замком
das Einschreiben, -	записать
der Zettel, -	записка
notieren	записывать
aufschreiben	записывать
ausfüllen, füllt aus, füllte aus, hat ausgefüllt	заполнять
die Tankstelle, -n	заправка
tanken, tankt, tankte, hat getankt	заправлять
untersagt	запрещать
verbieten, verbietet, verbot, hat verboten	запрещать
das Verbot, -e	запрещение
verboten	запрещено неуместно
verdienen, verdient, verdiente, hat verdient	зарабатывать
der Lohn, ¨-e	зарплата
der Stau, -s	застой
der Abschluss, ¨-e	затвор
abholen, holt ab, holte ab, hat abgeholt	заходить
eintreten, tritt ein, trat ein, ist eingetreten	заходить
vorlesen, liest vor, las vor, hat vorgelesen	зачитывать
der Schutz	защита
schützen, schützt, schützte, hat geschützt	защищать
der Antrag, ¨-e	заявление
die Bewerbung, -en	заявление
der Hase, -n	заяц
der Titel, -	звание
der Star, -s	звезда
der Stern, -e	звезда
klingeln, klingelt, klingelte, hat geklingelt	звонить
klingen, klingt, klang, hat geklungen	звонить
telefonieren, telefoniert, telefonierte, hat telefoniert	звонить по телефону
die Klingel, -n	звонок у двери
das Gebäude, -	здание
da	здесь
grüßen, grüßt, grüßte, hat gegrüßt	здороваться
gesund	здоровый
die Gesundheit	здоровье
grün	зеленый
das Grundstück, -e	земельный участок
der Boden, ¨-	земля
die Erde	земля
das Land, ¨-er	земля
der Spiegel, -	зеркало
der Winter, -s, -	зима
(sich) ärgern, ärgert, ärgerte, hat geärgert	злить
ärgerlich	злой
die Schlange, -n	змея
die Schlange, -n	змея
das Zeichen, -	знак
das Kennzeichen, -	знак отличительный
kennenlernen, lernt kennen, lernte kennen, hat kennengeler	знакомиться с кемл
bekannt	знакомый
der Bekannte, -n die Bekannte, -n	знакомый
berühmt	знаменитый
das Wissen	знание
die Kenntnisse (Pl.)	знания
kennen, kennt, kannte, hat gekannt	знать
wissen, weiß, wusste, hat gewusst	знать
