able	способный
pain	боль
pair	пара
pale	бледный
paper	бумага
pardon	извинять
part	часть
pass	пройти
passenger	пассажир
past	прошлый
path	путь
pear	груша
pepper	перец
per	(кол-во) на (единицу)
perfect	совершенный
perhaps	возможно
pet	домашний питомец
pick up	подобрать
piece	предмет
pillow	подушка
pity	жалость
plane	самолёт
plant	завод
plate	плита
playground	детская площадка
please	радовать
pocket	карман
point	пункт
polite	вежливый
pool	бассейн
poor	бедный
possible	возможный
post	почта
potato	картофель
prefer	предпочитать
prepare	приготовить
present	присутствующий
pretty	приятный
pupil	зрачок
purple	пурпурный
purse	кошелек
put on	провести (мероприятие)
puzzle	озадачить
quarter	четверть
question	подвергать сомнению
quiet	тихий
quite	вполне или более-менее
quiz	викторина
rabbit	кролик
race	гонка
railway	железная дорога
reason	причина
receipt	получение
receive	получить
record	запись
refrigerator	холодильник
rent	аренда
repair	ремонт
rest	покоиться
return	возвращаться
rice	рис
rich	богатый
ride	ездить
roast	жарить
rock	качать
roof	крыша
room	место
round	круг
rubber	резина
ruler	линейка
run	управлять
safe	надёжный
sail	парус
sale	продажа
salt	соль
sausage	колбаса
scarf	шарф
science	наука
scissors	ножницы
seat	место
sentence	приговор
serve	подавать (блюдо)
set	набор
several	несколько
shame	стыд
share	разделять (напр. мнение)
sheet	лист
ship	доставлять
shirt	рубашка
shoe	туфля
shout	кричать
shower	душ
sick	больной
sign	подпись
simple	простой
since	с (какого-то времени)
single	один
sink	раковина
site	местоположение
skate	конёк
ski	ездить на лыжах
skirt	юбка
slice	ломтик
slim	стройный
snack	лёгкая закуска
soap	мыло
soccer	футбол
sock	носок
software	программое обеспечение
soon	скоро или рано
sound	здоровый
south	юг
space	космос
spare	выделить
special	особенный
spell	произносить (писать) по буквам
square	площадь
staff	персонал
stage	стадия
stairs	ступеньки
stamp	печать
stand	терпеть
stay	остановиться пожить
still	спокойный
stomach	желудок
store	магазин
straight	прямой
subject	подверженный
suit	подходить
suitcase	чемодан
suppose	полагать
sure	уверенный
surf	прибой
surprise	удивлять
table	таблица
take	воспринимать
take off	взлететь
tall	высокий (чел)
team	команда
tent	палатка
term	термин
terrible	ужасный
text	писать (сообщение)
thin	тонкий
ticket	билет
tidy	опрятный
tie	связывать
timetable	расписание
tired	усталый
toe	палец (ноги)
total	полный
towel	полотенце
traffic light	светофор
train	тренировать
tram	трамвай
trip	поездка
trousers	брюки
try on	примерить
turn	очередь
turn off	свернуть (с дороги)
turn on	заводить
type	печатать
umbrella	зонтик
uncle	дядя
underground	подземный
upset	расстраивать
useful	полезный
variety	разнообразие
various	разнообразный
vegetable	овощ
view	вид
village	деревня
violin	скрипка
visit	посетить
vocabulary	словарный запас
waiter	официант
wallet	бумажник
wash up	помыть посуду
watch	часы (наручные)
way	способ
wear	надевать
welcome	желанный
well	колодец
west	запад
wet	мокрый
wheel	колесо
whole	весь
wide	широкий
will	воля
wood	древесина
wool	шерсть
worry	волновать (ся)
wrong	не тот
yet	всё же
zoo	зоопарк
