die Vielfalt	разнообразие
die Flucht	побег
auf der Flucht sein	в бегах
Fläche	область
sich ablenken	отвлечься
etwas unternehmen	что-то предпринимать
die Gegenwart	настоящее время
eins mit der Natur sein	быть единым с природой
geprägt	отмеченный
die Niederlage	поражение
die Wiedervereinigung	воссоединение
die Zeitangabe	указание времени
die Scheibe	диск
einst	бывало
anfangs	первоначально
heutzutage	в наши дни
gegenwärtig	в настоящее время
inwieweit	в какой степени
Ehre zuteil wird	отдать честь
abknutschen	задушить поцелуями
das Testament	завещание
der Teufel	дьявол
Oberlehrer	всезнайка
aufwecken	будить
der Gedanke	мысль
mittendrin	в середине
beeinflussen	оказывать влияние
die Verantwortung übernehmen	брать на себя ответственность
anerkennen	признать
beeindruckender	впечатляющий
witziger	остроумный
Aufklärung	просветление
die Vernunft	причина
die Abhängigkeit	зависимость
plädieren	выступать за
der Bedingung	условие
das Schaf	овца
sich anpassen	адаптироваться
zufügen	причинить зло
verfassen	сочинять
die Einladung	приглашение
die Zeile	строка
vorweisen	представлять (оф)
